more_details_url,make,model,battery_,towbar,market_segment,number_of_seats,acceleration,top_speed,range,efficiency,fastcharge,germany_price,nl_price,uk_price,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1662/Hyundai-IONIQ-5-Long-Range-2WD,Hyundai,IONIQ 5 Long Range 2WD,74,Towbar possible,SUV,5,7.3,185,390,190,1020,47900,52895,46945,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1484/Mercedes-EQS-580-4MATIC,Mercedes,EQS 580 4MATIC,107.8,Towbar possible,Sedan,5,4.3,210,595,181,890,141705,173825,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1698/Mercedes-EQA-250plus,Mercedes,EQA 250+,70.5,Towbar possible,SUV,5,8.6,160,420,168,580,52205,59675,52010,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1302/Nissan-Ariya-87kWh,Nissan,Ariya 87kWh,87,Towbar possible,SUV,5,7.6,160,450,193,540,58990,54990,44645,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1586/Opel-Mokka-e,Opel,Mokka-e,46.3,Towbar not possible,SUV,5,9.2,150,260,178,420,40650,39749,38835,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1840/Volkswagen-ID7-Pro-S,Volkswagen,ID.7 Pro S,86,Towbar not possible,Sedan,5,7,180,520,165,800,60000,65000,56000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1830/Hyundai-Kona-Electric-65-kWh,Hyundai,Kona Electric 65 kWh,65.4,Towbar possible,SUV,5,8.8,170,390,168,400,48000,43995,38595,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1664/Mercedes-EQB-250,Mercedes,EQB 250,66.5,Towbar not possible,SUV,7,8.9,160,385,173,550,52550,59917,N/A,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1765/Rolls-Royce-Spectre,Rolls-Royce,Spectre,100,Towbar not possible,Coupe,4,4.5,250,455,220,540,400000,400000,350000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1279/Skoda-Enyaq-iV-60,Skoda,Enyaq iV 60,58,Towbar possible,SUV,5,8.7,160,340,171,460,N/A,44990,38970,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1712/Fisker-Ocean-One,Fisker,Ocean One,106.5,Towbar possible,SUV,5,3.9,205,530,201,630,69950,70000,60880,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh,CUPRA,Born 150 kW - 58 kWh,58,Towbar not possible,Hatchback,5,7.3,160,350,166,470,39370,39990,36475,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1656/Nissan-Leaf,Nissan,Leaf,39,Towbar not possible,Hatchback,5,7.9,144,235,166,230,33400,35090,28995,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1489/Volkswagen-ID4-Pure,Volkswagen,ID.4 Pure,52,Towbar possible,SUV,5,10.9,160,285,182,360,N/A,42940,38845,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1835/Kia-EV9-998-kWh-AWD,Kia,EV9 99.8 kWh AWD,99.8,Towbar possible,SUV,7,5.3,200,430,232,780,75000,78895,65000,,,,,,,,,,,,,,,,,,,
https://ev-database.org/car/1792/Opel-Astra-Electric,Opel,Astra Electric,50.8,Towbar not possible,Hatchback,5,8.5,170,310,164,500,45060,40000,39995,,,,,,,,,,,,,,,,,,,
